SYMBOL,kwartal,rok,cena
SNX,1,2024,"10,1800"
SNX,4,2023,"10,0760"
SNX,3,2023,"13,2240"
SNX,2,2023,"15,2280"
SNX,1,2023,"26,4900"
SNX,4,2022,"27,3700"
SNX,3,2022,"21,1000"
SNX,2,2022,"24,4800"
SNX,1,2022,"5,5680"
SNX,4,2021,"6,3640"
SNX,3,2021,"4,3940"
SNX,2,2021,"5,1520"
SNX,1,2021,"6,3080"
SNX,4,2020,"6,9040"
SNX,3,2020,"4,1840"
SNX,2,2020,"4,1060"
SNX,1,2020,"2,1644"
SNX,4,2019,"1,3520"
SNX,3,2019,"2,1520"
SNX,2,2019,"1,3008"
SNX,1,2019,"1,0480"
SNX,4,2018,"1,1472"
SNX,3,2018,"0,5188"
SNX,2,2018,"0,5164"
SNX,1,2018,"0,5868"
SNX,4,2017,"0,5528"
SNX,3,2017,"0,5932"
SNX,2,2017,"0,5780"
SNX,1,2017,"0,6840"
SNX,4,2016,"0,6452"
SNX,3,2016,"0,7784"
SNX,2,2016,"0,8444"
SNX,1,2016,"1,1472"
SNX,4,2015,"1,1520"
SNX,3,2015,"1,4004"
SNX,2,2015,"2,3520"
SNX,1,2015,"3,5040"
SNX,4,2014,"8,0480"
SNX,3,2014,"7,6480"
SNX,2,2014,"3,5200"
SNX,1,2014,"2,9120"
SNX,4,2013,"1,5360"
SNX,3,2013,"1,4720"
SNX,2,2013,"1,7920"
SNX,1,2013,"1,7160"
SNX,4,2012,"2,2400"
SNX,3,2012,"1,9040"
SNX,2,2012,"2,4960"
SNX,1,2012,"1,5200"
SNX,4,2011,"1,9040"
SNX,3,2011,"2,0000"
SNX,2,2011,0
